title	major_group	minor_group	broad_group	detailed_occupation
Loan Interviewers and Clerks (43-4131.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Loan Interviewers and Clerks (43-4130)	Loan Interviewers and Clerks (43-4131)
New Accounts Clerks (43-4141.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	New Accounts Clerks (43-4140)	New Accounts Clerks (43-4141)
Order Clerks (43-4151.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Order Clerks (43-4150)	Order Clerks (43-4151)
Human Resources Assistants, Except Payroll and Timekeeping (43-4161.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Human Resources Assistants, Except Payroll and Timekeeping (43-4160)	Human Resources Assistants, Except Payroll and Timekeeping (43-4161)
Receptionists and Information Clerks (43-4171.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Receptionists and Information Clerks (43-4170)	Receptionists and Information Clerks (43-4171)
Reservation and Transportation Ticket Agents and Travel Clerks (43-4181.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Reservation and Transportation Ticket Agents and Travel Clerks (43-4180)	Reservation and Transportation Ticket Agents and Travel Clerks (43-4181)
Information and Record Clerks, All Other (43-4199.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Miscellaneous Information and Record Clerks (43-4190)	Information and Record Clerks, All Other (43-4199)
Cargo and Freight Agents (43-5011.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Cargo and Freight Agents (43-5010)	Cargo and Freight Agents (43-5011)
Freight Forwarders (43-5011.01)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Cargo and Freight Agents (43-5010)	Cargo and Freight Agents (43-5011)
Couriers and Messengers (43-5021.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Couriers and Messengers (43-5020)	Couriers and Messengers (43-5021)
Police, Fire, and Ambulance Dispatchers (43-5031.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Dispatchers (43-5030)	Police, Fire, and Ambulance Dispatchers (43-5031)
Dispatchers, Except Police, Fire, and Ambulance (43-5032.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Dispatchers (43-5030)	Dispatchers, Except Police, Fire, and Ambulance (43-5032)
Meter Readers, Utilities (43-5041.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Meter Readers, Utilities (43-5040)	Meter Readers, Utilities (43-5041)
Postal Service Clerks (43-5051.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Postal Service Workers (43-5050)	Postal Service Clerks (43-5051)
Postal Service Mail Carriers (43-5052.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Postal Service Workers (43-5050)	Postal Service Mail Carriers (43-5052)
Postal Service Mail Sorters, Processors, and Processing Machine Operators (43-5053.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Postal Service Workers (43-5050)	Postal Service Mail Sorters, Processors, and Processing Machine Operators (43-5053)
Production, Planning, and Expediting Clerks (43-5061.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Production, Planning, and Expediting Clerks (43-5060)	Production, Planning, and Expediting Clerks (43-5061)
Shipping, Receiving, and Traffic Clerks (43-5071.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Shipping, Receiving, and Traffic Clerks (43-5070)	Shipping, Receiving, and Traffic Clerks (43-5071)
Stock Clerks and Order Fillers (43-5081.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Stock Clerks and Order Fillers (43-5080)	Stock Clerks and Order Fillers (43-5081)
Stock Clerks, Sales Floor (43-5081.01)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Stock Clerks and Order Fillers (43-5080)	Stock Clerks and Order Fillers (43-5081)
Marking Clerks (43-5081.02)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Stock Clerks and Order Fillers (43-5080)	Stock Clerks and Order Fillers (43-5081)
Stock Clerks- Stockroom, Warehouse, or Storage Yard (43-5081.03)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Stock Clerks and Order Fillers (43-5080)	Stock Clerks and Order Fillers (43-5081)
Order Fillers, Wholesale and Retail Sales (43-5081.04)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Stock Clerks and Order Fillers (43-5080)	Stock Clerks and Order Fillers (43-5081)
Weighers, Measurers, Checkers, and Samplers, Recordkeeping (43-5111.00)	Office and Administrative Support Occupations (43-0000)	Material Recording, Scheduling, Dispatching, and Distributing Workers (43-5000)	Weighers, Measurers, Checkers, and Samplers, Recordkeeping (43-5110)	Weighers, Measurers, Checkers, and Samplers, Recordkeeping (43-5111)
Executive Secretaries and Executive Administrative Assistants (43-6011.00)	Office and Administrative Support Occupations (43-0000)	Secretaries and Administrative Assistants (43-6000)	Secretaries and Administrative Assistants (43-6010)	Executive Secretaries and Executive Administrative Assistants (43-6011)
Legal Secretaries (43-6012.00)	Office and Administrative Support Occupations (43-0000)	Secretaries and Administrative Assistants (43-6000)	Secretaries and Administrative Assistants (43-6010)	Legal Secretaries (43-6012)
Medical Secretaries (43-6013.00)	Office and Administrative Support Occupations (43-0000)	Secretaries and Administrative Assistants (43-6000)	Secretaries and Administrative Assistants (43-6010)	Medical Secretaries (43-6013)
Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)	Office and Administrative Support Occupations (43-0000)	Secretaries and Administrative Assistants (43-6000)	Secretaries and Administrative Assistants (43-6010)	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014)
Computer Operators (43-9011.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Computer Operators (43-9010)	Computer Operators (43-9011)
Data Entry Keyers (43-9021.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Data Entry and Information Processing Workers (43-9020)	Data Entry Keyers (43-9021)
Word Processors and Typists (43-9022.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Data Entry and Information Processing Workers (43-9020)	Word Processors and Typists (43-9022)
Desktop Publishers (43-9031.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Desktop Publishers (43-9030)	Desktop Publishers (43-9031)
Insurance Claims and Policy Processing Clerks (43-9041.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Insurance Claims and Policy Processing Clerks (43-9040)	Insurance Claims and Policy Processing Clerks (43-9041)
Insurance Claims Clerks (43-9041.01)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Insurance Claims and Policy Processing Clerks (43-9040)	Insurance Claims and Policy Processing Clerks (43-9041)
Insurance Policy Processing Clerks (43-9041.02)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Insurance Claims and Policy Processing Clerks (43-9040)	Insurance Claims and Policy Processing Clerks (43-9041)
Mail Clerks and Mail Machine Operators, Except Postal Service (43-9051.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Mail Clerks and Mail Machine Operators, Except Postal Service (43-9050)	Mail Clerks and Mail Machine Operators, Except Postal Service (43-9051)
Office Clerks, General (43-9061.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Office Clerks, General (43-9060)	Office Clerks, General (43-9061)
Office Machine Operators, Except Computer (43-9071.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Office Machine Operators, Except Computer (43-9070)	Office Machine Operators, Except Computer (43-9071)
Proofreaders and Copy Markers (43-9081.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Proofreaders and Copy Markers (43-9080)	Proofreaders and Copy Markers (43-9081)
Statistical Assistants (43-9111.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Statistical Assistants (43-9110)	Statistical Assistants (43-9111)
Bioinformatics Technicians (43-9111.01)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Statistical Assistants (43-9110)	Statistical Assistants (43-9111)
Office and Administrative Support Workers, All Other (43-9199.00)	Office and Administrative Support Occupations (43-0000)	Other Office and Administrative Support Workers (43-9000)	Miscellaneous Office and Administrative Support Workers (43-9190)	Office and Administrative Support Workers, All Other (43-9199)
First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011.00)	Farming, Fishing, and Forestry Occupations (45-0000)	Supervisors of Farming, Fishing, and Forestry Workers (45-1000)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1010)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)
First-Line Supervisors of Logging Workers (45-1011.05)	Farming, Fishing, and Forestry Occupations (45-0000)	Supervisors of Farming, Fishing, and Forestry Workers (45-1000)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1010)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)
First-Line Supervisors of Aquacultural Workers (45-1011.06)	Farming, Fishing, and Forestry Occupations (45-0000)	Supervisors of Farming, Fishing, and Forestry Workers (45-1000)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1010)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)
First-Line Supervisors of Agricultural Crop and Horticultural Workers (45-1011.07)	Farming, Fishing, and Forestry Occupations (45-0000)	Supervisors of Farming, Fishing, and Forestry Workers (45-1000)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1010)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)
First-Line Supervisors of Animal Husbandry and Animal Care Workers (45-1011.08)	Farming, Fishing, and Forestry Occupations (45-0000)	Supervisors of Farming, Fishing, and Forestry Workers (45-1000)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1010)	First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)
Agricultural Inspectors (45-2011.00)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Agricultural Inspectors (45-2010)	Agricultural Inspectors (45-2011)
Animal Breeders (45-2021.00)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Animal Breeders (45-2020)	Animal Breeders (45-2021)
Graders and Sorters, Agricultural Products (45-2041.00)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Graders and Sorters, Agricultural Products (45-2040)	Graders and Sorters, Agricultural Products (45-2041)
Agricultural Equipment Operators (45-2091.00)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Miscellaneous Agricultural Workers (45-2090)	Agricultural Equipment Operators (45-2091)
Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092.00)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Miscellaneous Agricultural Workers (45-2090)	Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092)
Nursery Workers (45-2092.01)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Miscellaneous Agricultural Workers (45-2090)	Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092)
Farmworkers and Laborers, Crop (45-2092.02)	Farming, Fishing, and Forestry Occupations (45-0000)	Agricultural Workers (45-2000)	Miscellaneous Agricultural Workers (45-2090)	Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092)
